Gender,Height,Weight,BMI
Male,1.875714232,109.7209851,Obesity
Male,1.747060363,73.62273185,Normal
Male,1.882396677,96.49755015,Overweight
Male,1.821966851,99.80950419,Obesity
Male,1.774997615,93.59861876,Overweight
Male,1.708226598,69.04221615,Normal
Male,1.747141064,83.42821885,Overweight
Male,1.736052294,76.19035195,Overweight
Male,1.702281321,79.80018673,Overweight
Male,1.611794947,70.94164201,Overweight
Male,1.80836271,84.64250139,Overweight
Male,1.81967645,96.95128455,Overweight
Male,1.64506476,75.80767932,Overweight
Male,1.75978998,85.93127231,Overweight
Male,1.758790799,84.56504714,Overweight
Male,1.71819874,78.10261398,Overweight
Male,1.839425242,88.91696224,Overweight
Male,1.624947873,78.41855902,Overweight
Male,1.768857521,84.36083528,Overweight
Male,1.725574523,82.74726813,Overweight
Male,1.725042275,78.9775925,Overweight
Male,1.763761773,89.68939099,Overweight
Male,1.680187952,67.66393615,Normal
Male,1.91023173,103.7645136,Overweight
Male,1.724487187,73.48492123,Normal
Male,1.730858433,87.24568902,Overweight
Male,1.754876638,83.65831963,Overweight
Male,1.849141425,93.8156121,Overweight
Male,1.712499554,79.47563349,Overweight
Male,1.73980895,70.00858628,Normal
Male,1.742900008,85.051604,Overweight
Male,1.880458714,96.57437493,Overweight
Male,1.816816687,88.46506527,Overweight
Male,1.757176092,93.06964917,Obesity
Male,1.76726094,92.60721401,Overweight
Male,1.788183594,87.49949121,Overweight
Male,1.754534748,89.57908694,Overweight
Male,1.706715491,83.37518697,Overweight
Male,1.671505818,74.32187695,Overweight
Male,1.633326372,73.98449171,Overweight
Male,1.72654814,78.0793299,Overweight
Male,1.833611419,88.0174433,Overweight
Male,1.657866776,76.48366074,Overweight
Male,1.678690505,73.11605148,Overweight
Male,1.714762166,74.68858448,Overweight
Male,1.780661571,85.69364533,Overweight
Male,1.733596646,84.84916998,Overweight
Male,1.833186812,94.83287107,Overweight
Male,1.757168384,87.09616643,Overweight
Male,1.850907148,95.86326582,Overweight
Male,1.645477608,75.12010874,Overweight
Male,1.782662167,91.20461347,Overweight
Male,1.739682836,78.66372102,Overweight
Male,1.710203104,82.28507206,Overweight
Male,1.70156998,76.99166618,Overweight
Male,1.689088567,74.07589557,Overweight
Male,1.736167639,86.05103355,Overweight
Male,1.79767126,87.14629376,Overweight
Male,1.808884461,89.90123773,Overweight
Male,1.77833948,95.03954411,Obesity
Male,1.813640828,90.15585187,Overweight
Male,1.766620929,89.84728729,Overweight
Male,1.874990778,88.58225936,Overweight
Male,1.701720822,74.81696269,Overweight
Male,1.814029034,81.58482719,Normal
Male,1.658094225,70.42034882,Overweight
Male,1.734164463,83.69651972,Overweight
Male,1.848240397,100.0977942,Overweight
Male,1.729724247,83.14915395,Overweight
Male,1.749976334,89.10874364,Overweight
Male,1.759953553,83.73109116,Overweight
Male,1.791289903,94.13523529,Overweight
Male,1.769458621,80.37692367,Overweight
Male,1.716919828,73.98448494,Overweight
Male,1.841706258,98.07485943,Overweight
Male,1.809825834,92.83009475,Overweight
Male,1.823953347,91.13596374,Overweight
Male,1.835027203,100.1992756,Overweight
Male,1.689420743,89.10808505,Obesity
Male,1.677137464,76.49412231,Overweight
Male,1.71645971,82.29642716,Overweight
Male,1.733462842,90.10998495,Overweight
Male,1.875183626,107.9171281,Obesity
Male,1.772982595,78.49012935,Normal
Male,1.675373276,72.88493912,Overweight
Male,1.805407046,85.54877527,Overweight
Male,1.691543392,94.50394005,Obesity
Male,1.751368991,87.74062225,Overweight
Male,1.73340933,78.97476423,Overweight
Male,1.836847358,89.52481313,Overweight
Male,1.824111679,91.45352147,Overweight
Male,1.657021058,82.10558297,Overweight
Male,1.794269464,82.60930266,Overweight
Male,1.64419091,80.53492549,Overweight
Male,1.7044302,74.83115,Overweight
Male,1.653984116,75.16795635,Overweight
Male,1.821211344,87.58596783,Overweight
Male,1.697555106,81.95676566,Overweight
Male,1.688370392,78.36877853,Overweight
Male,1.763052766,80.49925176,Overweight
Male,1.779325308,91.0897727,Overweight
Male,1.695287558,76.08542018,Overweight
Male,1.68336796,70.03262023,Normal
Male,1.735542579,80.73244902,Overweight
Male,1.77992756,83.433194,Overweight
Male,1.745817899,81.28585551,Overweight
Male,1.715923702,71.92517053,Normal
Male,1.682842266,75.52466992,Overweight
Male,1.757227948,78.0104203,Overweight
Male,1.717271266,79.09019821,Overweight
Male,1.760035546,85.15978964,Overweight
Male,1.732043374,91.39332783,Obesity
