Commune
id;Code postal;Commune;Code commune
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94120.0;FONTENAY-SOUS-BOIS;33
;94170.0;LE PERREUX-SUR-MARNE;58
;94130.0;NOGENT-SUR-MARNE;52
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94300.0;VINCENNES;80
;94120.0;FONTENAY-SOUS-BOIS;33
;94120.0;FONTENAY-SOUS-BOIS;33
;94170.0;LE PERREUX-SUR-MARNE;58
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94170.0;LE PERREUX-SUR-MARNE;58
;94160.0;SAINT-MANDE;67
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94300.0;VINCENNES;80
;94130.0;NOGENT-SUR-MARNE;52
;94120.0;FONTENAY-SOUS-BOIS;33
;94160.0;SAINT-MANDE;67
;94120.0;FONTENAY-SOUS-BOIS;33
;94300.0;VINCENNES;80
;94300.0;VINCENNES;80
;94120.0;FONTENAY-SOUS-BOIS;33
;94120.0;FONTENAY-SOUS-BOIS;33
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94300.0;VINCENNES;80
;94170.0;LE PERREUX-SUR-MARNE;58
;94130.0;NOGENT-SUR-MARNE;52
;94130.0;NOGENT-SUR-MARNE;52
;94300.0;VINCENNES;80
;94130.0;NOGENT-SUR-MARNE;52
;94160.0;SAINT-MANDE;67
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94360.0;BRY-SUR-MARNE;15
;94300.0;VINCENNES;80
;94130.0;NOGENT-SUR-MARNE;52
;94120.0;FONTENAY-SOUS-BOIS;33
;94160.0;SAINT-MANDE;67
;94130.0;NOGENT-SUR-MARNE;52
;94300.0;VINCENNES;80
;94170.0;LE PERREUX-SUR-MARNE;58
;94360.0;BRY-SUR-MARNE;15
;94170.0;LE PERREUX-SUR-MARNE;58
;94300.0;VINCENNES;80
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94130.0;NOGENT-SUR-MARNE;52
;94130.0;NOGENT-SUR-MARNE;52
;94160.0;SAINT-MANDE;67
;94160.0;SAINT-MANDE;67
;94120.0;FONTENAY-SOUS-BOIS;33
;94120.0;FONTENAY-SOUS-BOIS;33
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94130.0;NOGENT-SUR-MARNE;52
;94360.0;BRY-SUR-MARNE;15
;94300.0;VINCENNES;80
;94300.0;VINCENNES;80
;94300.0;VINCENNES;80
;94130.0;NOGENT-SUR-MARNE;52
;94130.0;NOGENT-SUR-MARNE;52
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94170.0;LE PERREUX-SUR-MARNE;58
;94130.0;NOGENT-SUR-MARNE;52
;94120.0;FONTENAY-SOUS-BOIS;33
;94170.0;LE PERREUX-SUR-MARNE;58
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94360.0;BRY-SUR-MARNE;15
;94160.0;SAINT-MANDE;67
;94160.0;SAINT-MANDE;67
;94300.0;VINCENNES;80
;94160.0;SAINT-MANDE;67
;94300.0;VINCENNES;80
;94170.0;LE PERREUX-SUR-MARNE;58
;94170.0;LE PERREUX-SUR-MARNE;58
;94170.0;LE PERREUX-SUR-MARNE;58
;94170.0;LE PERREUX-SUR-MARNE;58
;94130.0;NOGENT-SUR-MARNE;52
;94170.0;LE PERREUX-SUR-MARNE;58
;94160.0;SAINT-MANDE;67
;94170.0;LE PERREUX-SUR-MARNE;58
;94500.0;CHAMPIGNY-SUR-MARNE;17
;94120.0;FONTENAY-SOUS-BOIS;33
;94300.0;VINCENNES;80
;94300.0;VINCENNES;80
;95300.0;PONTOISE;500
;95180.0;MENUCOURT;388
;95610.0;ERAGNY-SUR-OISE;218
;95310.0;ST OUEN L AUMONE;572
;95300.0;PONTOISE;500
;95590.0;NOINTEL;452
;95430.0;AUVERS-SUR-OISE;39
;95300.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95610.0;ERAGNY-SUR-OISE;218
;95290.0;L'ISLE-ADAM;313
;95430.0;AUVERS-SUR-OISE;39
;95000.0;CERGY;127
;95180.0;MENUCOURT;388
;95310.0;ST OUEN L AUMONE;572
;95480.0;PIERRELAYE;488
;95610.0;ERAGNY-SUR-OISE;218
;95280.0;JOUY-LE-MOUTIER;323
;95290.0;L'ISLE-ADAM;313
;95520.0;OSNY;476
;95800.0;CERGY;127
;95300.0;PONTOISE;500
;95260.0;BEAUMONT-SUR-OISE;52
;95800.0;CERGY;127
;95630.0;MERIEL;392
;95610.0;ERAGNY-SUR-OISE;218
;95540.0;MERY-SUR-OISE;394
;95310.0;ST OUEN L AUMONE;572
;95590.0;NOINTEL;452
;95000.0;CERGY;127
;95300.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95310.0;ST OUEN L AUMONE;572
;95300.0;PONTOISE;500
;95000.0;CERGY;127
;95300.0;PONTOISE;500
;95000.0;CERGY;127
;95620.0;PARMAIN;480
;95620.0;PARMAIN;480
;95620.0;PARMAIN;480
;95310.0;ST OUEN L AUMONE;572
;95310.0;ST OUEN L AUMONE;572
;95180.0;MENUCOURT;388
;95260.0;BEAUMONT-SUR-OISE;52
;95830.0;CORMEILLES-EN-VEXIN;177
;95800.0;CERGY;127
;95300.0;PONTOISE;500
;95260.0;BEAUMONT-SUR-OISE;52
;95000.0;CERGY;127
;95000.0;CERGY;127
;95800.0;COURDIMANCHE;183
;95180.0;MENUCOURT;388
;95800.0;COURDIMANCHE;183
;95540.0;MERY-SUR-OISE;394
;95180.0;MENUCOURT;388
;95300.0;PONTOISE;500
;95420.0;MAGNY-EN-VEXIN;355
;95310.0;ST OUEN L AUMONE;572
;95610.0;ERAGNY-SUR-OISE;218
;95300.0;PONTOISE;500
;95310.0;ST OUEN L AUMONE;572
;95520.0;OSNY;476
;95610.0;ERAGNY-SUR-OISE;218
;95490.0;VAUREAL;637
;95310.0;ST OUEN L AUMONE;572
;95310.0;ST OUEN L AUMONE;572
;95490.0;VAUREAL;637
;95000.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95280.0;JOUY-LE-MOUTIER;323
;95310.0;ST OUEN L AUMONE;572
;95310.0;ST OUEN L AUMONE;572
;95610.0;ERAGNY-SUR-OISE;218
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95000.0;CERGY;127
;95660.0;CHAMPAGNE SUR-OISE;134
;95750.0;CHARS;142
;95800.0;CERGY;127
;95260.0;BEAUMONT-SUR-OISE;52
;95430.0;AUVERS-SUR-OISE;39
;95480.0;PIERRELAYE;488
;95800.0;CERGY;127
;95800.0;CERGY;127
;95490.0;VAUREAL;637
;95180.0;MENUCOURT;388
;95260.0;BEAUMONT-SUR-OISE;52
;95800.0;CERGY;127
;95260.0;BEAUMONT-SUR-OISE;52
;95000.0;CERGY;127
;95490.0;VAUREAL;637
;95520.0;OSNY;476
;95630.0;MERIEL;392
;95290.0;L'ISLE-ADAM;313
;95430.0;AUVERS-SUR-OISE;39
;95300.0;ENNERY;211
;95480.0;PIERRELAYE;488
;95800.0;CERGY;127
;95540.0;MERY-SUR-OISE;394
;95800.0;CERGY;127
;95000.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95420.0;MAGNY-EN-VEXIN;355
;95480.0;PIERRELAYE;488
;95180.0;MENUCOURT;388
;95310.0;ST OUEN L AUMONE;572
;95290.0;L'ISLE-ADAM;313
;95340.0;PERSAN;487
;95520.0;OSNY;476
;95300.0;PONTOISE;500
;95650.0;BOISSY-L'AILLERIE;78
;95290.0;L'ISLE-ADAM;313
;95620.0;PARMAIN;480
;95310.0;ST OUEN L AUMONE;572
;95290.0;L'ISLE-ADAM;313
;95260.0;BEAUMONT-SUR-OISE;52
;95290.0;L'ISLE-ADAM;313
;95280.0;JOUY-LE-MOUTIER;323
;95800.0;CERGY;127
;95340.0;PERSAN;487
;95300.0;PONTOISE;500
;95640.0;MARINES;370
;95310.0;ST OUEN L AUMONE;572
;95610.0;ERAGNY-SUR-OISE;218
;95310.0;ST OUEN L AUMONE;572
;95000.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95310.0;ST OUEN L AUMONE;572
;95840.0;VILLIERS-ADAM;678
;95310.0;ST OUEN L AUMONE;572
;95000.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95660.0;CHAMPAGNE SUR-OISE;134
;95180.0;MENUCOURT;388
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95800.0;COURDIMANCHE;183
;95000.0;CERGY;127
;95800.0;CERGY;127
;95000.0;CERGY;127
;95300.0;PONTOISE;500
;95420.0;MAGNY-EN-VEXIN;355
;95180.0;MENUCOURT;388
;95610.0;ERAGNY-SUR-OISE;218
;95180.0;MENUCOURT;388
;95280.0;JOUY-LE-MOUTIER;323
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95340.0;PERSAN;487
;95000.0;CERGY;127
;95000.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95610.0;ERAGNY-SUR-OISE;218
;95540.0;MERY-SUR-OISE;394
;95640.0;MARINES;370
;95610.0;ERAGNY-SUR-OISE;218
;95180.0;MENUCOURT;388
;95610.0;ERAGNY-SUR-OISE;218
;95610.0;ERAGNY-SUR-OISE;218
;95760.0;VALMONDOIS;628
;95290.0;L'ISLE-ADAM;313
;95260.0;BEAUMONT-SUR-OISE;52
;95300.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95260.0;BEAUMONT-SUR-OISE;52
;95620.0;PARMAIN;480
;95260.0;BEAUMONT-SUR-OISE;52
;95310.0;ST OUEN L AUMONE;572
;95340.0;PERSAN;487
;95780.0;LA ROCHE-GUYON;523
;95800.0;CERGY;127
;95000.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95000.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95290.0;L'ISLE-ADAM;313
;95800.0;CERGY;127
;95610.0;ERAGNY-SUR-OISE;218
;95290.0;L'ISLE-ADAM;313
;95300.0;PONTOISE;500
;95000.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95260.0;BEAUMONT-SUR-OISE;52
;95000.0;CERGY;127
;95630.0;MERIEL;392
;95420.0;GENAINVILLE;270
;95300.0;ENNERY;211
;95800.0;CERGY;127
;95260.0;BEAUMONT-SUR-OISE;52
;95310.0;ST OUEN L AUMONE;572
;95290.0;L'ISLE-ADAM;313
;95630.0;MERIEL;392
;95290.0;L'ISLE-ADAM;313
;95310.0;ST OUEN L AUMONE;572
;95260.0;BEAUMONT-SUR-OISE;52
;95540.0;MERY-SUR-OISE;394
;95310.0;ST OUEN L AUMONE;572
;95820.0;BRUYERES-SUR-OISE;116
;95800.0;CERGY;127
;95000.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95620.0;PARMAIN;480
;95650.0;BOISSY-L'AILLERIE;78
;95000.0;CERGY;127
;95800.0;CERGY;127
;95180.0;MENUCOURT;388
;95300.0;PONTOISE;500
;95280.0;JOUY-LE-MOUTIER;323
;95640.0;MARINES;370
;95610.0;ERAGNY-SUR-OISE;218
;95280.0;JOUY-LE-MOUTIER;323
;95300.0;PONTOISE;500
;95310.0;ST OUEN L AUMONE;572
;95000.0;PONTOISE;500
;95000.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95300.0;PONTOISE;500
;95650.0;BOISSY-L'AILLERIE;78
;95690.0;LABBEVILLE;328
;95000.0;CERGY;127
;95300.0;ENNERY;211
;95260.0;BEAUMONT-SUR-OISE;52
;95290.0;L'ISLE-ADAM;313
;95800.0;CERGY;127
;95750.0;CHARS;142
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95610.0;ERAGNY-SUR-OISE;218
;95490.0;VAUREAL;637
;95310.0;ST OUEN L AUMONE;572
;95280.0;JOUY-LE-MOUTIER;323
;95510.0;VETHEUIL;651
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95300.0;PONTOISE;500
;95430.0;AUVERS-SUR-OISE;39
;95180.0;MENUCOURT;388
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95540.0;MERY-SUR-OISE;394
;95800.0;CERGY;127
;95340.0;PERSAN;487
;95660.0;CHAMPAGNE SUR-OISE;134
;95830.0;CORMEILLES-EN-VEXIN;177
;95620.0;PARMAIN;480
;95800.0;CERGY;127
;95300.0;PONTOISE;500
;95000.0;CERGY;127
;95000.0;PONTOISE;500
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95180.0;MENUCOURT;388
;95800.0;CERGY;127
;95300.0;PONTOISE;500
;95290.0;L'ISLE-ADAM;313
;95310.0;ST OUEN L AUMONE;572
;95260.0;BEAUMONT-SUR-OISE;52
;95300.0;PONTOISE;500
;95340.0;PERSAN;487
;95800.0;CERGY;127
;95180.0;MENUCOURT;388
;95800.0;CERGY;127
;95000.0;CERGY;127
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95800.0;CERGY;127
;95260.0;BEAUMONT-SUR-OISE;52
;95300.0;PONTOISE;500
;95260.0;BEAUMONT-SUR-OISE;52
;95260.0;BEAUMONT-SUR-OISE;52
;95610.0;ERAGNY-SUR-OISE;218
;95300.0;PONTOISE;500
;95490.0;VAUREAL;637
;95610.0;ERAGNY-SUR-OISE;218
;95610.0;ERAGNY-SUR-OISE;218
;95800.0;COURDIMANCHE;183
;95290.0;L'ISLE-ADAM;313
;95260.0;BEAUMONT-SUR-OISE;52
;95610.0;ERAGNY-SUR-OISE;218
;95660.0;CHAMPAGNE SUR-OISE;134
;95260.0;BEAUMONT-SUR-OISE;52
;95310.0;ST OUEN L AUMONE;572
;95290.0;L'ISLE-ADAM;313
;95480.0;PIERRELAYE;488
;95000.0;CERGY;127
;95800.0;CERGY;127
;95300.0;PONTOISE;500
;95000.0;PONTOISE;500
;95300.0;PONTOISE;500
;95310.0;ST OUEN L AUMONE;572
;95800.0;CERGY;127
;95520.0;OSNY;476
;95520.0;OSNY;476
;95540.0;MERY-SUR-OISE;394
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95280.0;JOUY-LE-MOUTIER;323
;95480.0;PIERRELAYE;488
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95430.0;AUVERS-SUR-OISE;39
;95540.0;MERY-SUR-OISE;394
;95800.0;COURDIMANCHE;183
;95610.0;ERAGNY-SUR-OISE;218
;95310.0;ST OUEN L AUMONE;572
;95000.0;CERGY;127
;95800.0;CERGY;127
;95310.0;ST OUEN L AUMONE;572
;95260.0;BEAUMONT-SUR-OISE;52
;95290.0;L'ISLE-ADAM;313
;95260.0;BEAUMONT-SUR-OISE;52
;95000.0;CERGY;127
;95300.0;PONTOISE;500
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95260.0;BEAUMONT-SUR-OISE;52
;95260.0;BEAUMONT-SUR-OISE;52
;95480.0;PIERRELAYE;488
;95290.0;L'ISLE-ADAM;313
;95260.0;BEAUMONT-SUR-OISE;52
;95180.0;MENUCOURT;388
;95000.0;CERGY;127
;95340.0;PERSAN;487
;95780.0;LA ROCHE-GUYON;523
;95800.0;CERGY;127
;95490.0;VAUREAL;637
;95310.0;ST OUEN L AUMONE;572
;95430.0;AUVERS-SUR-OISE;39
;95290.0;L'ISLE-ADAM;313
;95310.0;ST OUEN L AUMONE;572
;95630.0;MERIEL;392
;95540.0;MERY-SUR-OISE;394
;95610.0;ERAGNY-SUR-OISE;218
;95000.0;CERGY;127
;95800.0;CERGY;127
;95620.0;PARMAIN;480
;95300.0;PONTOISE;500
;95800.0;CERGY;127
;95610.0;ERAGNY-SUR-OISE;218
;95800.0;CERGY;127
;95190.0;GOUSSAINVILLE;280
;95270.0;BELLOY-EN-FRANCE;56
;95500.0;GONESSE;277
;95500.0;GONESSE;277
;95330.0;DOMONT;199
;95500.0;GONESSE;277
;95400.0;ARNOUVILLE;19
;95700.0;ROISSY-EN-FRANCE;527
;95350.0;SAINT-BRICE-SOUS-FORET;539
;95700.0;ROISSY-EN-FRANCE;527
;95140.0;GARGES-LES-GONESSE;268
;95440.0;ECOUEN;205
;95500.0;LE THILLAY;612
;95200.0;SARCELLES;585
;95560.0;MONTSOULT;430
;95470.0;SAINT-WITZ;580
;95200.0;SARCELLES;585
;95460.0;EZANVILLE;229
;95500.0;GONESSE;277
;95200.0;SARCELLES;585
;95350.0;SAINT-BRICE-SOUS-FORET;539
;95500.0;LE THILLAY;612
;95140.0;GARGES-LES-GONESSE;268
;95330.0;DOMONT;199
;95330.0;DOMONT;199
;95570.0;BOUFFEMONT;91
;95140.0;GARGES-LES-GONESSE;268
;95440.0;ECOUEN;205
;95560.0;MONTSOULT;430
;95560.0;MONTSOULT;430
;95140.0;GARGES-LES-GONESSE;268
;95200.0;SARCELLES;585
;95560.0;MAFFLIERS;353
;95200.0;SARCELLES;585
;95560.0;BAILLET-EN-FRANCE;42
;95200.0;SARCELLES;585
;95440.0;ECOUEN;205
;95330.0;DOMONT;199
;95440.0;ECOUEN;205
;95330.0;DOMONT;199
;95200.0;SARCELLES;585
;95380.0;LOUVRES;351
;95470.0;FOSSES;250
;95400.0;VILLIERS-LE-BEL;680
;95460.0;EZANVILLE;229
;95270.0;LUZARCHES;352
;95470.0;SAINT-WITZ;580
;95700.0;ROISSY-EN-FRANCE;527
;95330.0;DOMONT;199
;95380.0;VILLERON;675
;95330.0;DOMONT;199
;95200.0;SARCELLES;585
;95350.0;SAINT-BRICE-SOUS-FORET;539
;95470.0;VEMARS;641
;95350.0;SAINT-BRICE-SOUS-FORET;539
;95460.0;EZANVILLE;229
;95440.0;ECOUEN;205
;95200.0;SARCELLES;585
;95140.0;GARGES-LES-GONESSE;268
;95190.0;GOUSSAINVILLE;280
;95200.0;SARCELLES;585
;95330.0;DOMONT;199
;95270.0;VIARMES;652
;95140.0;GARGES-LES-GONESSE;268
;95570.0;BOUFFEMONT;91
;95330.0;DOMONT;199
;95570.0;BOUFFEMONT;91
;95200.0;SARCELLES;585
;95200.0;SARCELLES;585
;95440.0;ECOUEN;205
;95440.0;ECOUEN;205
;95470.0;SAINT-WITZ;580
;95140.0;GARGES-LES-GONESSE;268
;95350.0;SAINT-BRICE-SOUS-FORET;539
;95500.0;BONNEUIL-EN-FRANCE;88
;95400.0;ARNOUVILLE;19
;95140.0;GARGES-LES-GONESSE;268
;95470.0;SURVILLIERS;604
;95200.0;SARCELLES;585
;95400.0;ARNOUVILLE;19
;95140.0;GARGES-LES-GONESSE;268
;95560.0;BAILLET-EN-FRANCE;42
;95470.0;SURVILLIERS;604
;95200.0;SARCELLES;585
;95570.0;BOUFFEMONT;91
;95380.0;LOUVRES;351
;95470.0;VEMARS;641
;95400.0;ARNOUVILLE;19
;95330.0;DOMONT;199
;95190.0;GOUSSAINVILLE;280
;95400.0;VILLIERS-LE-BEL;680
;95500.0;GONESSE;277
;95570.0;MOISSELLES;409
;95560.0;BAILLET-EN-FRANCE;42
;95460.0;EZANVILLE;229
;95400.0;ARNOUVILLE;19
;95570.0;BOUFFEMONT;91
;95400.0;VILLIERS-LE-BEL;680
;95270.0;LUZARCHES;352
;95470.0;SURVILLIERS;604
;95350.0;SAINT-BRICE-SOUS-FORET;539
;95400.0;ARNOUVILLE;19
;95400.0;VILLIERS-LE-BEL;680
;95500.0;GONESSE;277
;95140.0;GARGES-LES-GONESSE;268
;95140.0;GARGES-LES-GONESSE;268
;95140.0;GARGES-LES-GONESSE;268
;95500.0;GONESSE;277
;95570.0;BOUFFEMONT;91
;95560.0;MAFFLIERS;353
;95330.0;DOMONT;199
;95270.0;ASNIERES-SUR-OISE;26
;95440.0;ECOUEN;205
;95400.0;ARNOUVILLE;19
;95270.0;VIARMES;652
;95400.0;VILLIERS-LE-BEL;680
;95400.0;VILLIERS-LE-BEL;680
;95700.0;ROISSY-EN-FRANCE;527
;95500.0;BONNEUIL-EN-FRANCE;88
;95500.0;GONESSE;277
;95460.0;EZANVILLE;229
;95380.0;LOUVRES;351
;95330.0;DOMONT;199
;95140.0;GARGES-LES-GONESSE;268
;95440.0;ECOUEN;205
;95560.0;MONTSOULT;430
;95190.0;GOUSSAINVILLE;280
;95560.0;BAILLET-EN-FRANCE;42
;95500.0;BONNEUIL-EN-FRANCE;88
;95380.0;VILLERON;675
;95200.0;SARCELLES;585
;95200.0;SARCELLES;585
;95400.0;VILLIERS-LE-BEL;680
;95440.0;ECOUEN;205
;95140.0;GARGES-LES-GONESSE;268
;95570.0;BOUFFEMONT;91
;95500.0;GONESSE;277
;95200.0;SARCELLES;585
;95200.0;SARCELLES;585
;95380.0;LOUVRES;351
;95380.0;LOUVRES;351
;95200.0;SARCELLES;585
;95190.0;GOUSSAINVILLE;280
;95400.0;VILLIERS-LE-BEL;680
;95380.0;PUISEUX-EN-FRANCE;509
;95200.0;SARCELLES;585
;95470.0;SURVILLIERS;604
;95200.0;SARCELLES;585
;95330.0;DOMONT;199
;95460.0;EZANVILLE;229
;95350.0;SAINT-BRICE-SOUS-FORET;539
;95190.0;FONTENAY-EN-PARISIS;241
;95570.0;BOUFFEMONT;91
;95470.0;VEMARS;641
;95190.0;GOUSSAINVILLE;280
;95190.0;GOUSSAINVILLE;280
;95200.0;SARCELLES;585
;95330.0;DOMONT;199
;95200.0;SARCELLES;585
